species,lon,lat
E3A,26.60184,-33.58337
E3A,26.50898,-33.63416
E3A,26.52898,-33.59585
E3A,26.53013,-33.6257
E3A,26.50574,-33.58145
E3A,26.5276,-33.60453
E3A,26.58105,-33.57291
E3A,26.53295,-33.58844
E3A,26.50764,-33.56883
E3A,26.53489,-33.63199
E3A,26.49552,-33.6301
E3A,26.56009,-33.62452
E3A,26.5775,-33.60302
E3A,26.51682,-33.61342
E3A,26.514,-33.5755
E3A,26.49802,-33.59594
E3A,26.51542,-33.63087
E3A,26.53309,-33.58785
E3A,26.52268,-33.6281
E3A,26.52121,-33.61736
E3A,26.56146,-33.63058
E3A,26.55067,-33.61947
E3A,26.5445,-33.62471
E3A,26.49751,-33.59874
E3A,26.50377,-33.62535
E3A,26.58064,-33.60613
E3A,26.53307,-33.60994
E3A,26.50757,-33.62041
E3A,26.54026,-33.6172
E3A,26.49615,-33.61173
E3A,26.522,-33.63721
E3A,26.55364,-33.63576
E3A,26.51702,-33.61352
E3A,26.4977,-33.60072
E3A,26.49938,-33.58682
E3A,26.51128,-33.59025
E3A,26.5154,-33.5887
E3A,26.51589,-33.63648
E3A,26.5272,-33.58029
E3A,26.52141,-33.61528
E3A,26.51018,-33.57075
E3A,26.4961,-33.58803
E3A,26.50922,-33.59736
E3A,26.52379,-33.61852
E3A,26.52945,-33.58307
E3A,26.50615,-33.6353
E3A,26.50515,-33.57461
E3A,26.53013,-33.60702
E3A,26.5228,-33.60697
E3A,26.59973,-33.60977
E3A,26.51794,-33.59597
E3A,26.52861,-33.60996
E3A,26.54705,-33.58218
E3A,26.51014,-33.61021
E3A,26.52687,-33.6155
E3A,26.52134,-33.57524
E3A,26.5257,-33.59733
E3A,26.54581,-33.62971
E3A,26.52752,-33.59643
E3A,26.49809,-33.58788
E3A,26.57527,-33.62832
E3A,26.59752,-33.61844
E3A,26.53179,-33.58911
E3A,26.5087,-33.6343
E3A,26.51963,-33.63784
E3A,26.55918,-33.61092
E3A,26.50314,-33.62355
E3A,26.5357,-33.62276
E3A,26.5315,-33.60004
E3A,26.57368,-33.62374
E3A,26.5049,-33.56993
E3A,26.53722,-33.60941
E3A,26.53028,-33.62964
E3A,26.51701,-33.59142
E3A,26.49465,-33.57921
E3A,26.55031,-33.62954
E3A,26.53587,-33.56975
E3A,26.57598,-33.62392
E3A,26.57462,-33.606
E3A,26.5652,-33.61466
E3A,26.51731,-33.62845
E3A,26.51115,-33.56419
E3A,26.51962,-33.63352
E3A,26.51737,-33.613
E3A,26.50863,-33.57232
E3A,26.49508,-33.5956
E3A,26.49806,-33.59825
E3A,26.50591,-33.63211
E3A,26.52875,-33.60991
E3A,26.52787,-33.57779
E3A,26.57535,-33.6056
E3A,26.53693,-33.60173
E3A,26.53585,-33.58459
E3A,26.50556,-33.58487
E3A,26.50127,-33.63569
E3A,26.51416,-33.57605
E3A,26.56725,-33.6146
E3A,26.49571,-33.57291
E3A,26.52884,-33.59466
E3A,26.60776,-33.61752
E3A,26.51739,-33.63365
E3A,26.55006,-33.62021
E3A,26.50765,-33.63398
E3A,26.60806,-33.60845
E3A,26.53287,-33.57661
E3A,26.55826,-33.61126
E3A,26.52302,-33.57499
E3A,26.52551,-33.5848
E3A,26.50679,-33.58487
E3A,26.51752,-33.57719
E3A,26.54738,-33.62073
E3A,26.52255,-33.58342
E3A,26.525,-33.59863
E3A,26.52173,-33.61221
E3A,26.53763,-33.63328
E3A,26.52291,-33.57375
E3A,26.51476,-33.62688
E3A,26.50392,-33.57242
E3A,26.5133,-33.593
E3A,26.5319,-33.57409
E3A,26.5602,-33.62792
E3A,26.53681,-33.58831
E3A,26.54074,-33.6336
E3A,26.51379,-33.6362
E3A,26.54524,-33.62286
E3A,26.54697,-33.63409
E3A,26.50755,-33.5658
E3A,26.51597,-33.57942
E3A,26.52193,-33.59171
E3A,26.57247,-33.60634
E3A,26.54902,-33.60177
E3A,26.54197,-33.61698
E3A,26.51788,-33.59809
E3A,26.50201,-33.57447
E3A,26.53267,-33.58676
E3A,26.5578,-33.60448
