species,lon,lat
E3B,26.56369,-33.62514
E3B,26.58992,-33.611
E3B,26.57094,-33.57192
E3B,26.56614,-33.64021
E3B,26.55376,-33.6185
E3B,26.56815,-33.62737
E3B,26.56952,-33.60924
E3B,26.5969,-33.59016
E3B,26.57421,-33.62013
E3B,26.59606,-33.61031
E3B,26.56547,-33.61329
E3B,26.55959,-33.62504
E3B,26.60527,-33.61407
E3B,26.57208,-33.61271
E3B,26.58878,-33.57403
E3B,26.57532,-33.61352
E3B,26.56296,-33.6335
E3B,26.60794,-33.6029
E3B,26.56305,-33.62063
E3B,26.56224,-33.58033
E3B,26.57678,-33.61531
E3B,26.56306,-33.6218
E3B,26.6034,-33.5953
E3B,26.58092,-33.60886
E3B,26.56938,-33.63091
E3B,26.58101,-33.62327
E3B,26.60972,-33.6143
E3B,26.55761,-33.62082
E3B,26.58238,-33.58956
E3B,26.60925,-33.61341
E3B,26.57299,-33.58441
E3B,26.56504,-33.56927
E3B,26.55034,-33.61875
E3B,26.57484,-33.56701
E3B,26.55712,-33.61781
E3B,26.54289,-33.62347
E3B,26.59432,-33.59649
E3B,26.56735,-33.63323
E3B,26.57055,-33.61554
E3B,26.59433,-33.5995
E3B,26.56125,-33.62348
E3B,26.59473,-33.57791
E3B,26.55763,-33.62774
E3B,26.56832,-33.63645
E3B,26.58224,-33.61068
E3B,26.5557,-33.62962
E3B,26.54509,-33.61915
E3B,26.57017,-33.62922
E3B,26.55953,-33.62294
E3B,26.59582,-33.611
E3B,26.5643,-33.62289
E3B,26.55682,-33.62873
E3B,26.55359,-33.61923
E3B,26.54428,-33.62354
E3B,26.56975,-33.63141
E3B,26.56112,-33.62453
E3B,26.57096,-33.5882
E3B,26.60271,-33.61271
E3B,26.57951,-33.61264
E3B,26.59503,-33.5764
E3B,26.57962,-33.6179
E3B,26.58461,-33.60424
E3B,26.56322,-33.63225
E3B,26.59359,-33.60417
E3B,26.56996,-33.63188
E3B,26.5598,-33.63099
E3B,26.56265,-33.63341
E3B,26.56823,-33.57423
E3B,26.57521,-33.62577
E3B,26.61063,-33.61385
E3B,26.56502,-33.58459
E3B,26.54514,-33.62175
E3B,26.56785,-33.62719
E3B,26.55745,-33.62872
E3B,26.59995,-33.60041
E3B,26.5589,-33.62757
E3B,26.58131,-33.61038
E3B,26.59494,-33.61075
E3B,26.58857,-33.60936
E3B,26.60795,-33.61453
E3B,26.58687,-33.59432
E3B,26.5582,-33.62495
E3B,26.58078,-33.6163
E3B,26.58182,-33.61581
E3B,26.56944,-33.62982
E3B,26.545,-33.6144
E3B,26.56835,-33.62661
E3B,26.57845,-33.61946
E3B,26.58677,-33.60632
E3B,26.60048,-33.6133
E3B,26.55425,-33.63277
E3B,26.56082,-33.62234
E3B,26.59718,-33.59539
E3B,26.58006,-33.61682
E3B,26.57846,-33.61175
E3B,26.56295,-33.63348
E3B,26.56666,-33.63471
E3B,26.55334,-33.61669
E3B,26.57487,-33.59392
E3B,26.57615,-33.62562
E3B,26.5592,-33.62435
E3B,26.59441,-33.61105
E3B,26.55488,-33.61585
E3B,26.6016,-33.59931
E3B,26.55842,-33.63248
E3B,26.57566,-33.6079
E3B,26.60198,-33.59632
E3B,26.57836,-33.61391
E3B,26.54342,-33.62343
E3B,26.58066,-33.60107
E3B,26.56036,-33.63298
E3B,26.55752,-33.6287
E3B,26.55973,-33.62139
E3B,26.59922,-33.59046
E3B,26.58041,-33.62163
E3B,26.56638,-33.64019
E3B,26.60684,-33.61421
E3B,26.55872,-33.62784
E3B,26.57151,-33.61204
E3B,26.54463,-33.62233
E3B,26.56766,-33.62649
E3B,26.57753,-33.60277
E3B,26.565,-33.6204
E3B,26.58124,-33.62438
E3B,26.56947,-33.61881
E3B,26.58246,-33.61384
E3B,26.5641,-33.63417
E3B,26.55718,-33.61955
E3B,26.5677,-33.63848
E3B,26.58656,-33.60312
E3B,26.56853,-33.61789
E3B,26.56238,-33.62908
E3B,26.57127,-33.61703
E3B,26.57923,-33.61644
E3B,26.58329,-33.62405
E3B,26.57339,-33.62095
E3B,26.58524,-33.614
E3B,26.58504,-33.59579
E3B,26.55294,-33.61392
E3B,26.56043,-33.62449
E3B,26.56064,-33.6252
E3B,26.5777,-33.60193
E3B,26.56852,-33.62445
E3B,26.55139,-33.61719
E3B,26.58855,-33.58169
E3B,26.56173,-33.63392
E3B,26.54652,-33.61711
E3B,26.57451,-33.59367
E3B,26.56988,-33.62815
E3B,26.55722,-33.63204
E3B,26.56352,-33.61184
E3B,26.55495,-33.6344
E3B,26.58278,-33.58895
E3B,26.55865,-33.62439
E3B,26.56589,-33.62957
E3B,26.56803,-33.60973
E3B,26.58288,-33.60199
E3B,26.56526,-33.61705
E3B,26.60517,-33.60097
E3B,26.57834,-33.61905
E3B,26.55222,-33.61922
E3B,26.56876,-33.61653
E3B,26.57425,-33.62254
E3B,26.58508,-33.61653
E3B,26.60461,-33.60208
E3B,26.60019,-33.61461
E3B,26.59506,-33.60815
E3B,26.55576,-33.62375
E3B,26.57821,-33.57818
E3B,26.56257,-33.63022
E3B,26.55217,-33.61738
E3B,26.55802,-33.62663
E3B,26.59265,-33.57269
E3B,26.57962,-33.62569
E3B,26.57886,-33.57714
E3B,26.55388,-33.63597
E3B,26.56468,-33.62491
E3B,26.57456,-33.62473
E3B,26.5619,-33.62359
E3B,26.59789,-33.60758
E3B,26.56347,-33.63165
E3B,26.58096,-33.60848
E3B,26.59641,-33.61862
E3B,26.55131,-33.61632
E3B,26.59509,-33.59095
E3B,26.57076,-33.57179
E3B,26.56717,-33.57937
E3B,26.609,-33.61399
E3B,26.55986,-33.62129
E3B,26.6077,-33.61423
E3B,26.58744,-33.58316
E3B,26.56549,-33.6308
E3B,26.56816,-33.61153
E3B,26.57693,-33.57131
E3B,26.56256,-33.62902
E3B,26.58808,-33.59517
E3B,26.58683,-33.58004
E3B,26.57583,-33.61578
E3B,26.59426,-33.60766
E3B,26.59985,-33.6144
E3B,26.5796,-33.61536
E3B,26.55919,-33.63066
E3B,26.58513,-33.61033
E3B,26.54305,-33.61789
E3B,26.58137,-33.61295
E3B,26.59977,-33.62067
E3B,26.57801,-33.62114
E3B,26.59117,-33.61211
E3B,26.57192,-33.61669
E3B,26.58054,-33.62526
E3B,26.57756,-33.60858
E3B,26.57618,-33.60217
E3B,26.58065,-33.61306
E3B,26.54499,-33.61738
E3B,26.56344,-33.63422
E3B,26.60817,-33.61208
E3B,26.59368,-33.58946
E3B,26.57292,-33.61648
E3B,26.58824,-33.57099
E3B,26.6073,-33.61562
E3B,26.58596,-33.59569
E3B,26.59712,-33.61811
E3B,26.56214,-33.63183
E3B,26.56931,-33.61486
E3B,26.57598,-33.6205
E3B,26.58871,-33.60428
E3B,26.55692,-33.6195
E3B,26.57177,-33.59187
E3B,26.55889,-33.6284
E3B,26.55518,-33.62064
E3B,26.60724,-33.61464
E3B,26.57741,-33.57792
E3B,26.5758,-33.59086
E3B,26.57374,-33.62402
E3B,26.56848,-33.62424
E3B,26.60113,-33.61845
E3B,26.57358,-33.61843
E3B,26.6069,-33.61577
E3B,26.55572,-33.62966
E3B,26.58587,-33.61145
E3B,26.60567,-33.61536
E3B,26.56932,-33.60991
E3B,26.57755,-33.62567
E3B,26.56827,-33.6279
E3B,26.596800000000002,-33.5906
E3B,26.60011,-33.61902
E3B,26.59073,-33.60449
E3B,26.56599,-33.6238
E3B,26.56371,-33.61236
E3B,26.60193,-33.59727
E3B,26.5622,-33.63259
E3B,26.55327,-33.62015
E3B,26.56577,-33.62571
E3B,26.57214,-33.5696
E3B,26.58659,-33.60501
E3B,26.55691,-33.62529
E3B,26.59566,-33.59504
E3B,26.55959,-33.63265
E3B,26.55222,-33.61413
E3B,26.55978,-33.61238
E3B,26.56451,-33.61119
E3B,26.60257,-33.60062
E3B,26.54345,-33.62321
E3B,26.59615,-33.61581
E3B,26.6005,-33.60641
E3B,26.57106,-33.62575
E3B,26.59528,-33.58945
E3B,26.58616,-33.60575
E3B,26.55521,-33.63157
E3B,26.57699,-33.62703
E3B,26.60229,-33.61861
E3B,26.58136,-33.6188
E3B,26.56146,-33.63261
E3B,26.56389,-33.62664
E3B,26.60467,-33.60916
E3B,26.5812,-33.61713
E3B,26.56148,-33.61412
E3B,26.60479,-33.60916
E3B,26.60506,-33.61416
E3B,26.60329,-33.60082
E3B,26.57192,-33.62376
E3B,26.56859,-33.61279
E3B,26.56399,-33.62932
E3B,26.58033,-33.61857
E3B,26.58102,-33.62314
E3B,26.55953,-33.63047
E3B,26.57115,-33.61248
E3B,26.56235,-33.62956
E3B,26.5576,-33.61845
E3B,26.54722,-33.62026
E3B,26.55613,-33.63018
E3B,26.55813,-33.61821
E3B,26.54331,-33.61661
E3B,26.55593,-33.63087
E3B,26.5697,-33.58923
E3B,26.60498,-33.60175
E3B,26.59289,-33.599850000000004
E3B,26.55529,-33.62987
E3B,26.55913,-33.61592
E3B,26.57835,-33.6237
E3B,26.56666,-33.63491
E3B,26.60274,-33.60568
E3B,26.59076,-33.57666
E3B,26.59771,-33.62038
E3B,26.57345,-33.58536
E3B,26.56057,-33.61768
E3B,26.56893,-33.61814
E3B,26.60108,-33.60535
E3B,26.56815,-33.61142
E3B,26.55618,-33.62993
E3B,26.56884,-33.62846
E3B,26.5814,-33.62524
E3B,26.57806,-33.6099
E3B,26.55658,-33.6132
E3B,26.57419,-33.58593
E3B,26.56475,-33.62551
E3B,26.55834,-33.63097
E3B,26.56455,-33.62655
E3B,26.58553,-33.61204
E3B,26.59239,-33.5948
E3B,26.56947,-33.62626
E3B,26.5646,-33.63618
E3B,26.57844,-33.62283
E3B,26.55456,-33.63363
E3B,26.56965,-33.63277
E3B,26.5765,-33.62945
E3B,26.59595,-33.61721
E3B,26.55936,-33.6244
